date,volatility
2019-01-07,78.29
2019-01-08,76.46
2019-01-09,77.78
2019-01-10,78.22
2019-01-13,76.62
2019-01-14,78.64
2019-01-15,77.16
2019-01-16,77.16
2019-01-17,74.13
2019-01-21,65.74
2019-01-22,69.54
2019-01-23,70.9
2019-01-24,63.35
2019-01-27,66.93
2019-01-28,68.18
2019-01-29,69.45
2019-01-30,66.75
2019-01-31,66.42
2019-02-03,68.67
2019-02-04,68.63
2019-02-05,62.72
2019-02-06,59.68
2019-02-07,59.63
2019-02-10,60.49
2019-02-11,60.41
2019-02-12,57.01
2019-02-13,57.36
2019-02-14,56.68
2019-02-18,62.08
2019-02-19,59.42
2019-02-20,59.42
2019-02-21,56.52
2019-02-24,62.83
2019-02-25,60.47
2019-02-26,58.32
2019-02-27,58.67
2019-02-28,54.87
2019-03-03,58.71
2019-03-04,58.44
2019-03-05,56.74
2019-03-06,52.98
2019-03-07,49.52
2019-03-10,50.63
2019-03-11,50.32
2019-03-12,50.79
2019-03-13,50.79
2019-03-14,50.81
2019-03-17,50.29
2019-03-18,48.79
2019-03-19,46.75
2019-03-20,46.71
2019-03-21,46.8
2019-03-24,46.65
2019-03-25,45.98
2019-03-26,45.4
2019-03-27,44.84
2019-03-28,45.2
2019-03-31,49.65
2019-04-01,67.39
2019-04-02,74.05
2019-04-03,77.32
2019-04-04,73.4
2019-04-07,74.32
2019-04-08,73.15
2019-04-09,73.15
2019-04-10,66.27
2019-04-11,65.05
2019-04-14,65.05
2019-04-15,59.62
2019-04-16,56.83
2019-04-17,55.51
2019-04-21,58.06
2019-04-22,58.06
2019-04-23,62.63
2019-04-24,61.02
2019-04-25,61.22
2019-04-28,63.99
2019-04-29,64.19
2019-04-30,62.35
2019-05-01,60.67
2019-05-02,60.73
2019-05-05,67.11
2019-05-06,69.48
2019-05-07,71.39
2019-05-08,70.28
2019-05-09,69.26
2019-05-12,91.11
2019-05-13,114.41
2019-05-14,114.34
2019-05-15,112.61
2019-05-16,109.56
2019-05-19,117.82
2019-05-20,117.73
2019-05-21,106.15
2019-05-22,104.02
2019-05-23,103.23
2019-05-27,111.99
2019-05-28,106.71
2019-05-29,102.96
2019-05-30,101.96
2019-06-02,96.33
2019-06-03,92.93
2019-06-04,92.03
2019-06-05,90.48
2019-06-06,84.46
2019-06-09,83.88
2019-06-10,82.1
2019-06-11,81.25
2019-06-12,80.58
2019-06-13,80.79
2019-06-16,83.09
2019-06-17,96.89
2019-06-18,94.35
2019-06-19,93.46
2019-06-20,97.67
2019-06-23,109.84
2019-06-24,106.37
2019-06-25,110.19
2019-06-26,121.19
2019-06-27,135.71
2019-06-30,111.19
2019-07-01,112.84
2019-07-02,120.81
2019-07-04,115.04
2019-07-07,109.29
2019-07-08,109.61
2019-07-09,113.53
2019-07-10,115.05
2019-07-11,112.86
2019-07-14,124.2
2019-07-15,125.35
2019-07-16,129.37
2019-07-17,125.43
2019-07-18,130.47
2019-07-21,120.66
2019-07-22,118.41
2019-07-23,121.1
2019-07-24,119.58
2019-07-25,117.26
2019-07-28,119.89
2019-07-29,117.96
2019-07-30,117.09
2019-07-31,108.83
2019-08-01,106.23
2019-08-04,110.47
2019-08-05,111.93
2019-08-06,112.04
2019-08-07,110.03
2019-08-08,103.8
2019-08-11,101.34
2019-08-12,98.73
2019-08-13,97.47
2019-08-14,95.44
2019-08-15,98.28
2019-08-18,103.79
2019-08-19,100.03
2019-08-20,97.19
2019-08-21,96.95
2019-08-22,94.44
2019-08-25,96.48
2019-08-26,92.13
2019-08-27,90.99
2019-08-28,90.36
2019-08-29,84.19
2019-09-02,91.16
2019-09-03,87.46
2019-09-04,85.96
2019-09-05,83.72
2019-09-08,81.17
2019-09-09,80.24
2019-09-10,78.45
2019-09-11,78.82
2019-09-12,77.95
2019-09-15,76.02
2019-09-16,78.51
2019-09-17,77.22
2019-09-18,75.13
2019-09-19,75.12
2019-09-22,75.15
2019-09-23,77.93
2019-09-24,77.93
2019-09-25,78.51
2019-09-26,78.51
2019-09-29,97.64
2019-09-30,94.56
2019-10-01,92.12
2019-10-02,90.24
2019-10-03,86.07
2019-10-06,86.09
2019-10-07,83.37
2019-10-08,81.76
2019-10-09,80.93
2019-10-10,79.7
2019-10-13,81.01
2019-10-14,89.92
2019-10-15,90.89
2019-10-16,89.74
2019-10-17,87.87
2019-10-20,84.87
2019-10-21,84.77
2019-10-22,77.58
2019-10-23,84.07
2019-10-24,75.8
2019-10-27,117.26
2019-10-28,107.17
2019-10-29,102.94
2019-10-30,96.52
2019-10-31,96.24
2019-11-03,93.52
2019-11-04,88.91
2019-11-05,87.94
2019-11-06,72.32
2019-11-07,68.14
2019-11-10,69.57
2019-11-11,65.85
2019-11-12,66.7
2019-11-13,66.7
2019-11-14,66.77
2019-11-17,66.02
2019-11-18,66.02
2019-11-19,68.39
2019-11-20,68.47
2019-11-21,73.95
2019-11-24,81.43
2019-11-25,77.78
2019-11-26,75.15
2019-11-28,72.98
2019-12-01,69.06
2019-12-02,71.8
2019-12-03,72.13
2019-12-04,73.09
2019-12-05,72.73
2019-12-08,72.73
2019-12-09,72.73
2019-12-12,73.05
2019-12-15,72.9
2019-12-16,77.3
2019-12-17,81.26
2019-12-18,79.45
2019-12-19,79.17
2019-12-22,75.87
2019-12-23,76.0
2019-12-25,75.54
2020-01-06,75.54
2020-01-07,73.06
2020-01-08,69.94
2020-01-09,66.62
2020-01-12,64.48
2020-01-13,64.32
2020-01-14,68.02
2020-01-15,69.2
2020-01-16,67.17
2020-01-20,62.17
2020-01-21,62.2
2020-01-22,60.53
2020-01-23,60.08
2020-01-26,61.16
2020-01-27,64.04
2020-01-28,63.64
2020-01-29,63.85
2020-01-30,65.36
2020-02-02,63.67
2020-02-03,61.93
2020-02-04,63.61
2020-02-05,67.55
2020-02-06,67.39
2020-02-09,67.12
2020-02-10,66.45
2020-02-11,67.43
2020-02-12,68.77
2020-02-13,69.27
2020-02-17,69.34
2020-02-18,68.16
2020-02-19,69.59
2020-02-20,68.47
2020-02-23,64.55
2020-02-24,65.02
2020-02-25,65.3
2020-02-26,70.85
2020-02-27,68.91
2020-03-01,66.05
2020-03-02,65.55
2020-03-03,65.43
2020-03-04,64.55
2020-03-05,63.49
2020-03-08,68.24
2020-03-09,72.24
2020-03-10,69.42
2020-03-11,76.0
2020-03-12,133.53
2020-03-15,190.28
2020-03-16,168.89
2020-03-17,162.89
2020-03-18,152.42
2020-03-19,141.92
2020-03-22,147.62
2020-03-23,145.27
2020-03-24,157.43
2020-03-25,148.6
2020-03-26,141.48
2020-03-29,105.24
2020-03-30,115.78
2020-03-31,105.49
2020-04-01,118.93
2020-04-02,109.56
2020-04-05,114.85
2020-04-06,103.68
2020-04-07,105.03
2020-04-08,102.09
2020-04-12,99.1
2020-04-13,99.08
2020-04-14,98.59
2020-04-15,88.73
2020-04-16,99.63
2020-04-19,86.88
2020-04-20,92.87
2020-04-21,79.94
2020-04-22,79.36
2020-04-23,91.79
2020-04-26,74.91
2020-04-27,77.86
2020-04-28,84.62
2020-04-29,92.68
2020-04-30,90.1
2020-05-03,99.89
2020-05-04,100.84
2020-05-05,102.54
2020-05-06,91.44
2020-05-07,104.72
2020-05-10,122.31
2020-05-11,107.3
2020-05-12,116.2
2020-05-13,108.87
2020-05-14,120.35
2020-05-17,108.05
2020-05-18,111.87
2020-05-19,104.09
2020-05-20,105.52
2020-05-21,107.62
2020-05-25,93.01
2020-05-26,90.2
2020-05-27,83.28
2020-05-28,84.97
2020-05-31,79.17
2020-06-01,93.08
2020-06-02,91.11
2020-06-03,80.24
2020-06-04,80.15
2020-06-07,76.99
2020-06-08,77.2
2020-06-09,80.49
2020-06-10,82.78
2020-06-11,80.27
2020-06-14,87.11
2020-06-15,81.54
2020-06-16,80.58
2020-06-17,79.88
2020-06-18,69.01
2020-06-19,69.91
2020-06-20,69.73
2020-06-21,69.88
2020-06-22,69.3
2020-06-23,72.37
2020-06-24,69.06
2020-06-25,64.58
2020-06-26,61.32
2020-06-27,64.58
2020-06-28,61.68
2020-06-29,59.53
2020-06-30,58.07
2020-07-01,54.99
2020-07-02,52.98
2020-07-03,55.36
2020-07-04,58.57
2020-07-05,61.38
2020-07-06,63.22
2020-07-07,65.49
2020-07-08,67.39
2020-07-09,61.14
2020-07-10,62.54
2020-07-11,62.66
2020-07-12,62.81
2020-07-13,61.11
2020-07-14,62.03
2020-07-15,60.56
2020-07-16,57.41
2020-07-17,56.65
2020-07-18,57.82
2020-07-19,55.59
2020-07-20,58.62
2020-07-21,57.04
2020-07-22,58.8
2020-07-23,56.51
2020-07-24,56.49
2020-07-25,62.21
2020-07-26,75.07
2020-07-27,73.83
2020-07-28,69.17
2020-07-29,63.82
2020-07-30,66.23
2020-07-31,70.41
2020-08-01,77.12
2020-08-02,75.62
2020-08-03,73.69
2020-08-04,75.91
2020-08-05,73.53
2020-08-06,74.25
2020-08-07,73.26
2020-08-08,72.02
2020-08-09,73.19
2020-08-10,74.64
2020-08-11,70.95
2020-08-12,68.78
2020-08-13,73.77
2020-08-14,82.79
2020-08-15,81.85
2020-08-16,81.29
2020-08-17,81.67
2020-08-18,77.27
2020-08-19,73.47
2020-08-20,71.21
2020-08-21,71.81
2020-08-22,70.28
2020-08-23,69.92
2020-08-24,69.8
2020-08-25,66.69
2020-08-26,70.17
2020-08-27,63.85
2020-08-28,62.51
2020-08-29,62.45
2020-08-30,64.85
2020-08-31,67.0
2020-09-01,63.86
2020-09-02,68.55
2020-09-03,70.62
2020-09-04,74.73
2020-09-05,78.03
2020-09-06,75.92
2020-09-07,78.64
2020-09-08,78.99
2020-09-09,74.98
2020-09-10,71.87
2020-09-11,66.14
2020-09-12,69.26
2020-09-13,67.16
2020-09-14,67.03
2020-09-15,66.21
2020-09-16,65.46
2020-09-17,62.17
2020-09-18,59.93
2020-09-19,58.98
2020-09-20,62.36
2020-09-21,61.96
2020-09-22,59.93
2020-09-23,60.8
2020-09-24,54.43
2020-09-25,54.26
2020-09-26,55.85
2020-09-27,56.46
2020-09-28,56.03
2020-09-29,56.39
2020-09-30,60.71
2020-10-01,60.15
2020-10-02,58.63
2020-10-03,60.01
2020-10-04,62.15
2020-10-05,60.88
2020-10-06,62.08
2020-10-07,62.28
2020-10-08,59.01
2020-10-09,60.02
2020-10-10,59.8
2020-10-11,59.14
2020-10-12,59.87
2020-10-13,58.37
2020-10-14,58.11
2020-10-15,57.39
2020-10-16,57.67
2020-10-17,57.11
2020-10-18,58.16
2020-10-19,60.37
2020-10-20,67.96
2020-10-21,64.24
2020-10-22,62.63
2020-10-23,61.27
2020-10-24,61.87
2020-10-25,59.54
2020-10-26,63.87
2020-10-27,65.47
2020-10-28,63.5
2020-10-29,60.87
2020-10-30,67.62
2020-10-31,69.25
2020-11-01,72.25
2020-11-02,70.67
2020-11-03,67.86
2020-11-04,73.05
2020-11-05,75.59
2020-11-06,72.35
2020-11-07,70.35
2020-11-08,72.71
2020-11-09,67.0
2020-11-10,65.93
2020-11-11,70.41
2020-11-12,68.97
2020-11-13,70.15
2020-11-14,71.09
2020-11-15,70.58
2020-11-16,77.2
2020-11-17,86.68
2020-11-18,77.61
2020-11-19,80.18
2020-11-20,88.03
2020-11-21,86.42
2020-11-22,93.44
2020-11-23,92.35
2020-11-24,94.0
2020-11-25,90.43
2020-11-26,85.47
2020-11-27,79.74
