date,volatility
2020-04-14,105.48
2020-04-15,103.27
2020-04-16,102.55
2020-04-17,99.87
2020-04-18,101.69
2020-04-19,99.97
2020-04-20,102.54
2020-04-21,95.87
2020-04-22,96.44
2020-04-23,94.66
2020-04-24,88.25
2020-04-25,90.54
2020-04-26,91.7
2020-04-27,95.82
2020-04-28,95.17
2020-04-29,105.52
2020-04-30,98.41
2020-05-01,95.33
2020-05-02,95.9
2020-05-03,102.41
2020-05-04,100.06
2020-05-05,95.23
2020-05-06,96.42
2020-05-07,94.15
2020-05-08,93.85
2020-05-09,112.85
2020-05-10,111.55
2020-05-11,96.94
2020-05-12,96.77
2020-05-13,99.58
2020-05-14,101.44
2020-05-15,91.65
2020-05-16,97.52
2020-05-17,99.74
2020-05-18,95.95
2020-05-19,88.99
2020-05-20,89.65
2020-05-21,90.15
2020-05-22,85.86
2020-05-23,87.3
2020-06-03,82.06
2020-06-04,74.73
2020-06-05,74.33
2020-06-06,74.62
2020-06-07,72.71
2020-06-08,72.65
2020-06-09,75.9
2020-06-10,79.15
2020-06-11,73.57
2020-06-12,72.39
2020-06-13,73.83
2020-06-14,77.4
2020-06-15,76.06
2020-06-16,74.96
2020-06-17,73.63
2020-06-18,70.95
2020-06-20,70.81
2020-06-21,69.03
2020-06-22,69.85
2020-06-23,73.68
2020-06-24,70.91
2020-06-25,64.8
2020-06-26,60.71
2020-06-27,57.39
2020-06-28,56.49
2020-06-29,55.44
2020-06-30,55.31
2020-07-01,54.82
2020-07-02,49.87
2020-07-03,52.0
2020-07-04,55.99
2020-07-05,59.05
2020-07-06,61.7
2020-07-07,63.89
2020-07-08,66.29
2020-07-09,60.87
2020-07-10,62.78
2020-07-11,63.41
2020-07-12,65.95
2020-07-13,62.35
2020-07-14,63.78
2020-07-15,63.33
2020-07-16,59.2
2020-07-17,58.74
2020-07-18,61.02
2020-07-19,59.16
2020-07-20,61.27
2020-07-21,60.87
2020-07-22,68.74
2020-07-23,63.86
2020-07-24,64.35
2020-07-25,63.86
2020-07-26,76.19
2020-07-27,71.97
2020-07-28,71.47
2020-07-29,76.94
2020-07-30,81.91
2020-07-31,84.91
2020-08-01,109.2
2020-08-02,97.96
2020-08-03,96.01
2020-08-04,97.29
2020-08-05,96.05
2020-08-06,95.9
2020-08-07,93.13
2020-08-08,90.37
2020-08-09,91.7
2020-08-10,91.83
2020-08-11,87.62
2020-08-12,84.81
2020-08-13,109.82
2020-08-14,108.14
2020-08-15,112.51
2020-08-16,113.02
2020-08-17,111.37
2020-08-18,102.34
2020-08-19,96.03
2020-08-20,95.16
2020-08-21,104.66
2020-08-22,102.8
2020-08-23,96.01
2020-08-24,96.61
2020-08-25,94.68
2020-08-26,90.72
2020-08-27,86.79
2020-08-28,84.19
2020-08-29,78.68
2020-08-30,83.22
2020-08-31,97.83
2020-09-01,85.82
2020-09-02,89.72
2020-09-03,90.01
2020-09-04,101.62
2020-09-05,106.03
2020-09-06,108.39
2020-09-07,114.13
2020-09-08,110.18
2020-09-09,103.8
2020-09-10,101.73
2020-09-11,87.92
2020-09-12,90.49
2020-09-13,86.75
2020-09-14,89.16
2020-09-15,85.86
2020-09-16,82.22
2020-09-17,74.33
2020-09-18,72.55
2020-09-19,69.71
2020-09-20,81.46
2020-09-21,80.86
2020-09-22,74.93
2020-09-23,81.8
2020-09-24,65.44
2020-09-25,66.87
2020-09-26,67.78
2020-09-27,68.13
2020-09-28,66.01
2020-09-29,65.84
2020-09-30,70.88
2020-10-01,69.48
2020-10-02,67.68
2020-10-03,68.43
2020-10-04,72.12
2020-10-05,70.77
2020-10-06,72.7
2020-10-07,72.09
2020-10-08,70.22
2020-10-09,71.27
2020-10-10,71.46
2020-10-11,72.41
2020-10-12,79.16
2020-10-13,76.83
2020-10-14,74.52
2020-10-15,72.93
2020-10-16,67.64
2020-10-17,65.71
2020-10-18,66.26
2020-10-19,66.9
2020-10-20,76.75
2020-10-21,79.84
2020-10-22,76.46
2020-10-23,74.08
2020-10-24,73.57
2020-10-25,67.47
2020-10-26,71.9
2020-10-27,74.25
2020-10-28,71.75
2020-10-29,67.38
2020-10-30,70.23
2020-10-31,72.03
2020-11-01,73.93
2020-11-02,73.66
2020-11-03,70.7
2020-11-04,77.74
2020-11-05,85.43
2020-11-06,86.39
2020-11-07,86.16
2020-11-08,82.75
2020-11-09,78.48
2020-11-10,79.78
2020-11-11,77.52
2020-11-12,78.98
2020-11-13,81.55
2020-11-14,79.1
2020-11-15,78.09
2020-11-16,82.75
2020-11-17,89.25
2020-11-18,85.35
2020-11-19,95.99
2020-11-20,103.16
2020-11-21,109.78
2020-11-22,120.69
2020-11-23,118.7
2020-11-24,114.48
2020-11-25,101.46
2020-11-26,103.29
2020-11-27,99.19
2020-11-28,95.87
2020-11-29,110.86
2020-11-30,107.78
2020-12-01,105.16
2020-12-02,101.81
2020-12-03,100.38
2020-12-04,99.67
2020-12-05,98.08
2020-12-06,95.82
2020-12-07,93.44
2020-12-08,92.85
2020-12-09,90.83
2020-12-10,93.3
2020-12-11,89.55
2020-12-12,95.0
2020-12-13,92.1
2020-12-14,88.44
2020-12-15,93.59
2020-12-16,111.66
2020-12-17,101.31
2020-12-18,100.8
2020-12-19,100.35
2020-12-20,99.22
2020-12-21,100.89
2020-12-22,102.2
2020-12-23,100.26
2020-12-24,96.48
2020-12-25,98.58
2020-12-26,105.24
2020-12-27,107.56
2020-12-28,107.19
2020-12-29,105.66
2020-12-30,109.93
2020-12-31,104.22
2021-01-01,107.25
2021-01-02,116.27
2021-01-03,152.91
2021-01-04,152.36
2021-01-05,175.89
2021-01-06,188.08
2021-01-07,186.33
2021-01-08,182.39
2021-01-09,193.2
2021-01-10,183.99
2021-01-11,201.19
2021-01-12,181.44
2021-01-13,193.75
2021-01-14,203.57
2021-01-15,203.34
2021-01-16,195.14
2021-01-17,190.68
2021-01-18,201.14
2021-01-19,196.14
2021-01-20,170.24
2021-01-21,168.11
2021-01-22,169.86
2021-01-23,172.73
2021-01-24,179.32
2021-01-25,168.16
2021-01-26,173.86
2021-01-27,175.36
2021-01-28,185.61
2021-01-29,160.57
2021-01-30,160.51
2021-01-31,158.03
2021-02-01,175.7
2021-02-02,168.15
2021-02-03,165.81
2021-02-04,155.06
2021-02-05,145.45
2021-02-06,149.75
2021-02-07,145.72
2021-02-08,145.13
2021-02-09,143.48
2021-02-10,144.38
2021-02-11,142.2
2021-02-12,136.11
2021-02-13,136.11
2021-02-14,136.14
2021-02-15,140.01
2021-02-16,133.26
2021-02-17,139.19
2021-02-18,134.51
2021-02-19,138.32
2021-02-20,137.43
2021-02-21,142.84
2021-02-22,161.49
2021-02-23,149.59
2021-02-24,144.83
2021-02-25,137.85
2021-02-26,137.6
2021-02-27,145.24
2021-02-28,138.95
2021-03-01,137.37
2021-03-02,129.97
2021-03-03,132.17
2021-03-04,130.28
2021-03-05,123.5
2021-03-06,126.03
2021-03-07,122.15
2021-03-08,122.7
2021-03-09,123.66
2021-03-10,124.94
2021-03-11,121.12
2021-03-12,120.68
2021-03-13,123.52
2021-03-14,124.67
2021-03-15,122.88
2021-03-16,121.3
2021-03-17,116.71
2021-03-18,112.45
2021-03-19,109.92
2021-03-20,107.2
2021-03-21,102.66
2021-03-22,96.0
2021-03-23,96.58
2021-03-24,107.93
2021-03-25,86.87
2021-03-26,88.97
2021-03-27,86.72
2021-03-28,92.71
2021-03-29,97.52
2021-03-30,96.22
2021-03-31,93.8
2021-04-01,97.31
2021-04-02,100.07
2021-04-03,98.49
2021-04-04,96.51
2021-04-05,97.03
2021-04-06,95.56
2021-04-07,92.01
2021-04-08,89.81
2021-04-09,95.96
2021-04-10,97.49
2021-04-11,101.77
2021-04-12,105.78
2021-04-13,98.21
2021-04-14,94.11
2021-04-15,90.46
2021-04-16,84.42
2021-04-17,102.93
2021-04-18,99.22
2021-04-19,96.65
2021-04-20,94.14
2021-04-21,87.29
2021-04-22,100.83
2021-04-23,101.72
2021-04-24,102.16
2021-04-25,91.13
2021-04-26,93.4
2021-04-27,90.06
2021-04-28,92.13
2021-04-29,95.89
2021-04-30,92.39
2021-05-01,98.41
2021-05-02,106.08
2021-05-03,122.88
2021-05-04,117.89
2021-05-05,119.91
2021-05-06,113.9
2021-05-07,121.78
2021-05-08,119.73
2021-05-09,122.93
2021-05-10,128.78
2021-05-11,127.09
2021-05-12,126.9
2021-05-13,123.13
2021-05-14,129.13
2021-05-15,127.42
2021-05-16,134.84
2021-05-17,129.33
2021-05-18,217.99
2021-05-19,178.2
2021-05-20,173.82
2021-05-21,186.34
2021-05-22,207.55
2021-05-23,164.63
2021-05-24,162.98
2021-05-25,160.24
2021-05-26,150.18
2021-05-27,154.49
2021-05-28,162.44
2021-05-29,155.38
2021-05-30,143.51
2021-05-31,149.54
2021-06-01,146.31
2021-06-02,139.68
2021-06-03,140.27
2021-06-04,141.59
2021-06-05,138.27
2021-06-06,132.52
2021-06-07,145.06
2021-06-08,136.84
2021-06-09,130.0
2021-06-10,126.34
2021-06-11,123.91
2021-06-12,122.89
2021-06-13,121.56
2021-06-14,111.55
2021-06-15,112.23
2021-06-16,109.87
2021-06-17,113.17
2021-06-18,103.57
2021-06-19,109.74
2021-06-20,123.03
2021-06-21,130.47
2021-06-22,121.02
2021-06-23,117.75
2021-06-24,116.77
2021-06-25,121.44
2021-06-26,117.13
2021-06-27,116.7
2021-06-28,111.7
2021-06-29,115.74
2021-06-30,116.93
2021-07-01,108.97
2021-07-02,107.09
2021-07-03,103.48
2021-07-04,102.8
2021-07-05,106.02
2021-07-06,106.84
2021-07-07,108.8
2021-07-08,104.61
2021-07-09,105.01
2021-07-10,104.79
2021-07-11,104.33
2021-07-12,103.4
2021-07-13,103.47
2021-07-14,105.22
2021-07-15,101.79
2021-07-16,102.63
2021-07-17,103.65
2021-07-18,106.98
2021-07-19,111.35
2021-07-20,110.22
2021-07-21,108.51
2021-07-22,101.99
2021-07-23,104.19
2021-07-24,105.08
2021-07-25,107.79
2021-07-26,109.11
2021-07-27,112.68
2021-07-28,113.34
2021-07-29,103.3
2021-07-30,105.27
2021-07-31,109.23
2021-08-01,110.19
2021-08-02,111.79
2021-08-03,115.84
2021-08-04,121.08
2021-08-05,116.95
2021-08-06,122.22
2021-08-07,122.59
2021-08-08,132.38
2021-08-09,134.0
2021-08-10,133.0
2021-08-11,125.73
2021-08-12,123.78
2021-08-13,121.73
2021-08-14,120.14
2021-08-15,120.53
2021-08-16,118.48
2021-08-17,118.68
2021-08-18,116.69
2021-08-19,118.3
2021-08-20,113.85
2021-08-21,109.93
2021-08-22,112.66
2021-08-23,111.65
2021-08-24,107.3
2021-08-25,107.2
2021-08-26,103.71
2021-08-27,101.09
2021-08-28,101.15
2021-08-29,102.12
2021-08-30,109.06
2021-08-31,113.7
2021-09-01,115.19
2021-09-02,110.88
2021-09-03,108.18
2021-09-04,109.24
2021-09-05,107.46
2021-09-06,111.4
2021-09-07,110.16
2021-09-08,109.12
2021-09-09,106.52
2021-09-10,106.59
2021-09-11,105.51
2021-09-12,108.4
2021-09-13,106.33
2021-09-14,105.19
2021-09-15,101.38
2021-09-16,98.6
2021-09-17,98.26
2021-09-18,96.53
2021-09-19,102.33
2021-09-20,106.51
2021-09-21,102.68
2021-09-22,95.2
2021-09-23,99.94
2021-09-24,96.48
2021-09-25,95.65
2021-09-26,101.32
2021-09-27,107.05
2021-09-28,104.01
2021-09-29,101.0
2021-09-30,96.69
2021-10-01,93.53
2021-10-02,95.81
2021-10-03,98.73
2021-10-04,101.42
2021-10-05,104.23
2021-10-06,102.44
2021-10-07,100.87
2021-10-08,99.49
2021-10-09,99.25
2021-10-10,99.7
2021-10-11,101.13
2021-10-12,100.4
2021-10-13,102.73
2021-10-14,106.22
2021-10-15,95.33
2021-10-16,99.77
2021-10-17,104.92
2021-10-18,107.98
2021-10-19,117.36
2021-10-20,118.87
2021-10-21,110.77
2021-10-22,109.42
2021-10-23,107.67
2021-10-24,108.85
2021-10-25,104.89
2021-10-26,111.76
2021-10-27,111.4
2021-10-28,111.71
2021-10-29,110.09
2021-10-30,112.77
2021-10-31,113.01
2021-11-01,114.85
2021-11-02,114.15
2021-11-03,111.08
2021-11-04,107.32
2021-11-05,106.85
2021-11-06,107.88
2021-11-07,109.53
2021-11-08,108.0
2021-11-09,107.34
2021-11-10,108.96
2021-11-11,110.33
2021-11-12,108.99
2021-11-13,107.2
2021-11-14,105.31
2021-11-15,111.8
2021-11-16,112.92
2021-11-17,121.21
2021-11-18,116.07
2021-11-19,115.9
2021-11-20,114.36
2021-11-21,114.8
2021-11-22,113.83
2021-11-23,110.13
2021-11-24,106.83
2021-11-25,109.58
2021-11-26,106.97
2021-11-27,107.86
2021-11-28,106.93
2021-11-29,114.05
2021-11-30,108.93
2021-12-01,110.55
2021-12-02,106.22
2021-12-03,109.55
2021-12-04,112.91
2021-12-05,110.23
2021-12-06,109.11
2021-12-07,109.89
2021-12-08,112.86
2021-12-09,110.99
2021-12-10,111.23
2021-12-11,113.63
2021-12-12,113.07
2021-12-13,112.02
2021-12-14,111.97
2021-12-15,104.05
2021-12-16,104.59
2021-12-17,101.84
2021-12-18,102.93
2021-12-19,105.41
2021-12-20,102.23
2021-12-21,103.49
2021-12-22,98.6
2021-12-23,93.61
2021-12-24,93.42
2021-12-25,90.87
2021-12-26,90.23
2021-12-27,89.23
2021-12-28,90.57
2021-12-29,91.95
2021-12-30,85.94
2021-12-31,82.62
2022-01-01,82.67
2022-01-02,82.89
2022-01-03,79.05
2022-01-04,81.91
2022-01-05,86.22
2022-01-06,86.23
2022-01-07,82.02
2022-01-08,82.9
2022-01-09,85.16
2022-01-10,87.73
2022-01-11,82.98
2022-01-12,79.13
2022-01-13,74.42
2022-01-14,71.7
2022-01-15,73.0
2022-01-16,74.28
2022-01-17,75.79
2022-01-18,74.75
2022-01-19,70.29
2022-01-20,80.35
2022-01-21,92.09
2022-01-22,92.83
2022-01-23,98.72
2022-01-24,94.78
2022-01-25,92.13
2022-01-26,90.82
2022-01-27,84.73
2022-01-28,85.18
2022-01-29,83.31
2022-01-30,82.49
2022-01-31,82.86
2022-02-01,85.84
2022-02-02,83.36
2022-02-03,81.89
2022-02-04,81.02
2022-02-05,79.3
2022-02-06,80.1
2022-02-07,80.4
2022-02-08,78.99
2022-02-09,79.93
2022-02-10,77.37
2022-02-11,82.5
2022-02-12,79.34
2022-02-13,78.01
2022-02-14,77.81
2022-02-15,76.77
2022-02-16,79.08
2022-02-17,80.26
2022-02-18,78.05
2022-02-19,83.81
2022-02-20,85.41
2022-02-21,88.12
2022-02-22,83.31
2022-02-23,95.88
2022-02-24,84.12
2022-02-25,81.54
2022-02-26,86.74
2022-02-27,88.76
2022-02-28,85.96
2022-03-01,83.83
2022-03-02,84.09
2022-03-03,85.76
2022-03-04,84.86
2022-03-05,84.69
2022-03-06,86.31
2022-03-07,91.02
2022-03-08,88.24
2022-03-09,90.24
2022-03-10,87.58
2022-03-11,88.78
2022-03-12,88.83
2022-03-13,89.82
2022-03-14,91.92
2022-03-15,89.11
2022-03-16,83.84
2022-03-17,79.46
2022-03-18,79.18
2022-03-19,83.45
2022-03-20,81.98
2022-03-21,81.2
2022-03-22,79.14
2022-03-23,76.4
2022-03-24,71.22
2022-03-25,69.8
2022-03-26,71.25
2022-03-27,71.66
2022-03-28,71.61
2022-03-29,70.63
2022-03-30,73.39
2022-03-31,70.54
2022-04-01,69.24
2022-04-02,69.1
2022-04-03,70.26
2022-04-04,70.47
2022-04-05,74.43
2022-04-06,73.68
2022-04-07,69.96
2022-04-08,67.69
2022-04-09,65.51
2022-04-10,72.87
2022-04-11,70.14
2022-04-12,71.02
2022-04-13,68.82
2022-04-14,67.77
2022-04-15,66.2
2022-04-16,64.7
2022-04-17,68.06
2022-04-18,66.08
2022-04-19,67.15
2022-04-20,66.96
2022-04-21,66.54
2022-04-22,65.92
2022-04-23,66.16
2022-04-24,70.5
2022-04-25,71.27
2022-04-26,71.52
2022-04-27,70.67
2022-04-28,67.34
2022-04-29,66.23
2022-04-30,67.07
2022-05-01,69.18
2022-05-02,70.59
2022-05-03,71.34
2022-05-04,72.45
2022-05-05,69.8
2022-05-06,67.93
2022-05-07,73.01
2022-05-08,82.85
2022-05-09,81.75
2022-05-10,96.28
2022-05-11,118.93
2022-05-12,95.98
2022-05-13,100.22
2022-05-14,97.45
2022-05-15,100.35
2022-05-16,92.76
2022-05-17,97.13
2022-05-18,94.77
2022-05-19,94.42
2022-05-20,89.01
2022-05-21,92.08
2022-05-22,88.71
2022-05-23,90.25
2022-05-24,88.62
2022-05-25,90.84
2022-05-26,91.92
2022-05-27,91.3
2022-05-28,91.73
2022-05-29,85.23
2022-05-30,84.19
2022-05-31,86.93
2022-06-01,85.67
2022-06-02,85.69
2022-06-03,84.5
2022-06-04,84.97
2022-06-05,81.38
2022-06-06,84.97
2022-06-07,86.83
2022-06-08,84.56
2022-06-09,90.97
2022-06-10,96.06
2022-06-11,94.82
